;precision;recall;f1-score;support
0;1.0;0.8846153846153846;0.9387755102040817;26.0
1;0.8928571428571429;1.0;0.9433962264150944;25.0
accuracy;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353
macro avg;0.9464285714285714;0.9423076923076923;0.941085868309588;51.0
weighted avg;0.9474789915966386;0.9411764705882353;0.9410405671702643;51.0
