Pixel_ID;Row;Col;Area;B1(Coastal Aerosol);B2(Blue);B3(Green);B4(Red);B5(NIR);B6(SWIR1);B7(SWIR2);B8(NDVI);B9(MNDWI);B10(NDWI);B11(EVI);B12(SABI);B13(GNDVI);B14(NDAVI);B15(AWEI);B16(BATHYMETRY);Label;Kategori_Detail;Kategori
185;4;32;Lainnya;0.006937500089406967;0.020054999738931656;0.05478750169277191;0.0261049997061491;0.005177500192075968;0.011915000155568123;0.010484999977052212;-0.7625136375427246;0.6750307083129883;0.8445020318031311;-0.0647663101553917;-0.3450759947299957;-0.8445020318031311;-0.6777656674385071;0.16096436977386475;0.4088684916496277;1;Lamun;Lamun
184;4;31;Lainnya;0.005933749955147505;0.020343750715255737;0.05161124840378761;0.027851250022649765;0.005438750144094229;0.012781250290572643;0.011365000158548355;-0.5542128682136536;0.5961808562278748;0.8048987984657288;-0.03606802225112915;-0.2265433967113495;-0.8048987984657288;-0.5505796074867249;0.11763031035661697;0.3821808695793152;1;Lamun;Lamun
109;2;32;Lainnya;0.019628750160336494;0.03251250088214874;0.06299625337123871;0.0364999994635582;0.008147500455379486;0.011722500436007977;0.01005875039845705;-0.5844144225120544;0.6523163914680481;0.7591487169265747;-0.06871922314167023;-0.24094849824905396;-0.7591487169265747;-0.6421641707420349;0.15796594321727753;0.5706307291984558;1;Lamun;Lamun
279;7;12;Lainnya;0.005521249957382679;0.01913375034928322;0.049246251583099365;0.03282874822616577;0.01726374961435795;0.02012374997138977;0.015613749623298645;-0.289770245552063;0.4012346863746643;0.4598146975040436;-0.03625395894050598;-0.19408391416072845;-0.4598146975040436;-0.03391904756426811;0.06923624873161316;0.37396469712257385;1;Lamun;Lamun
458;12;1;Lainnya;0.06439875066280365;0.09628500044345856;0.16195499897003174;0.1501300036907196;0.1963299959897995;0.0953499972820282;0.0545400008559227;0.12248898297548294;0.2611082196235657;-0.07750990986824036;0.08082424104213715;0.16564157605171204;0.07750990986824036;0.33061522245407104;0.06735250353813171;0.5847688913345337;1;Lamun;Lamun
387;10;6;Lainnya;0.012891249731183052;0.017717499285936356;0.04711500182747841;0.029899999499320984;0.012327499687671661;0.02148500084877014;0.015599999576807022;-0.21922625601291656;0.3736151456832886;0.42207130789756775;-0.025224829092621803;-0.16333118081092834;-0.42207130789756775;0.038790181279182434;0.054833125323057175;0.3682323694229126;1;Lamun;Lamun
496;13;1;Lainnya;0.0;0.019862499088048935;0.07038000226020813;0.04879250004887581;0.07343249768018723;0.029157500714063644;0.020577499642968178;-0.12025278806686401;0.44773855805397034;0.21549616754055023;-0.03034086711704731;-0.11492607742547989;-0.21549616754055023;0.26915648579597473;0.11247312277555466;0.27826422452926636;1;Lamun;Lamun
103;2;26;Lainnya;0.06032875180244446;0.08509249985218048;0.13375374674797058;0.10912749916315079;0.03955249860882759;0.016356250271201134;0.012904999777674675;-0.41608381271362305;0.7491321563720703;0.5612732172012329;-0.15292134881019592;-0.27670344710350037;-0.5612732172012329;-0.41514259576797485;0.4187646806240082;0.6571053266525269;1;Lamun;Lamun
534;14;1;Lainnya;0.0;0.000777499983087182;0.0518449991941452;0.026270000264048576;0.010347500443458557;0.018185000866651535;0.015270000323653221;-0.6101747155189514;0.5157694816589355;0.755948007106781;-0.04297807067632675;-0.34359854459762573;-0.755948007106781;0.7821366190910339;0.10034562647342682;0.014712839387357235;1;Lamun;Lamun
102;2;25;Lainnya;0.05720749869942665;0.07930374890565872;0.12217625230550766;0.09860874712467194;0.03590875118970871;0.016548750922083855;0.011915000155568123;-0.42052680253982544;0.7413288354873657;0.5592834949493408;-0.1188114583492279;-0.24246995151042938;-0.5592834949493408;-0.40799349546432495;0.37431782484054565;0.6674148440361023;1;Lamun;Lamun
