Pixel_ID;Row;Col;Label;Kategori;B1(Coastal Aerosol);B2(Blue);B3(Green);B4(Red);B5(NIR);B6(SWIR1);B7(SWIR2);B8(NDVI);B9(MNDWI);B10(NDWI);B11(EVI);B12(SABI);B13(GNDVI);B14(NDAVI);B15(AWEI);B16(BATHYMETRY)
1;0;0;0;Tidak Teridentifikasi;0.01169500034302473;0.01760750077664852;0.048077501356601715;0.0284425001591444;0.3762350082397461;0.13967999815940857;0.05632749944925308;0.8560103178024292;-0.4917174279689789;-0.7585157155990601;0.6220062971115112;4801613807678220;0.7585157155990601;0.9059522747993469;-0.6019287705421448;0.3587692975997925
2;0;1;0;Tidak Teridentifikasi;0.01414250023663044;0.01889999955892563;0.04934249818325043;0.030422499403357506;0.3720549941062927;0.1461700052022934;0.05800500139594078;0.8520561456680298;-0.49335920810699463;-0.7651655673980713;0.6266775727272034;4935537815093990;0.7651655673980713;0.902820348739624;-0.6419618725776672;0.3735916316509247
3;0;2;0;Tidak Teridentifikasi;0.017139999195933342;0.02119624987244606;0.05357750132679939;0.03702250123023987;0.375038743019104;0.15590499341487885;0.06541624665260315;0.8232308030128479;-0.48744919896125793;-0.7413862347602844;0.5839258432388306;43035454750061000;0.7413862347602844;0.8898550868034363;-0.6751371622085571;0.38829708099365234
4;0;3;0;Tidak Teridentifikasi;0.017387500032782555;0.024166250601410866;0.05852749943733215;0.041491251438856125;0.3703775107860565;0.17486624419689178;0.07732374966144562;0.8127755522727966;-0.5055122971534729;-0.7235791087150574;0.5977743864059448;38463730812072700;0.7235791087150574;0.8723551630973816;-0.7613359093666077;0.4075223207473755
5;0;4;0;Tidak Teridentifikasi;0.018226249143481255;0.024166250601410866;0.05602499842643738;0.04308624938130379;0.33604374527931213;0.1853024959564209;0.08481749892234802;0.7755909562110901;-0.5357885956764221;-0.7013562917709351;0.5341344475746155;33589329719543400;0.7013562917709351;0.8513893485069275;-0.8293881416320801;0.42378637194633484
6;0;5;0;Tidak Teridentifikasi;0.02338249981403351;0.03068375028669834;0.06108500063419342;0.05716624855995178;0.33264750242233276;0.21978749334812164;0.10813750326633453;0.6893276572227478;-0.5517217516899109;-0.6534146666526794;0.45641860365867615;2572059392929070;0.6534146666526794;0.8096240758895874;-10036556720733600;0.4785914719104767
7;0;6;0;Tidak Teridentifikasi;0.026820000261068344;0.040597498416900635;0.07153499871492386;0.07622375339269638;0.3284262418746948;0.2430800050497055;0.12936750054359436;0.6120548844337463;-0.5451543927192688;-0.6222231388092041;0.4218861162662506;205834698677063;0.6222231388092041;0.7737933993339539;-11155600547790500;0.5216819047927856
8;0;7;0;Tidak Teridentifikasi;0.03616999834775925;0.04904000088572502;0.08033499866724014;0.08831000328063965;0.3232424855232239;0.23658999800682068;0.1371774971485138;0.5847459435462952;-0.49303463101387024;-0.5876201391220093;0.41477105021476746;18077481985092100;0.5876201391220093;0.7459462285041809;-10714293718338000;0.5480397343635559
9;0;8;0;Tidak Teridentifikasi;0.03487750142812729;0.04673000052571297;0.08476249873638153;0.09114249795675278;0.3269824981689453;0.19577999413013458;0.12359250336885452;0.58552485704422;-0.4392412602901459;-0.5997063517570496;0.42622318863868713;18726462125778100;0.5997063517570496;0.7523024678230286;-0.8518487215042114;0.5585995316505432
10;0;9;0;Tidak Teridentifikasi;0.028965000063180923;0.03515249863266945;0.06064499914646149;0.05693250149488449;0.33006250858306885;0.16495250165462494;0.08319500088691711;0.6641046404838562;-0.46236106753349304;-0.6443653106689453;0.4935961961746216;2495635986328120;0.6443653106689453;0.807496964931488;-0.7258849740028381;0.561952531337738
11;0;10;0;Tidak Teridentifikasi;0.022144999355077744;0.02959750033915043;0.0608924999833107;0.04329250007867813;0.39413750171661377;0.18161749839782715;0.08938249945640564;0.7669634222984314;-0.5194237232208252;-0.7417469024658203;0.5359447002410889;4023933410644530;0.7417469024658203;0.8664898872375488;-0.850783109664917;0.46167638897895813
12;0;11;0;Tidak Teridentifikasi;0.05525499954819679;0.06270749866962433;0.10216999799013138;0.10681749880313873;0.3821200132369995;0.246132493019104;0.15403500199317932;0.5630627870559692;-0.42133456468582153;-0.584812581539154;0.44325879216194153;16596735715866000;0.584812581539154;0.7313825488090515;-10949763059616000;0.5871816873550415
13;0;12;0;Tidak Teridentifikasi;0.045547500252723694;0.05616249889135361;0.09125249832868576;0.08976750075817108;0.380854994058609;0.2398349940776825;0.14328250288963318;0.6185159087181091;-0.461553156375885;-0.6141098141670227;0.4639959931373596;19613077640533400;0.6141098141670227;0.7429736852645874;-10835705995559600;0.6087911128997803
14;0;13;0;Tidak Teridentifikasi;0.024675000458955765;0.02797500044107437;0.05962749943137169;0.045932501554489136;0.3784075081348419;0.18142500519752502;0.0869624987244606;0.7828758955001831;-0.5149418711662292;-0.7299060821533203;0.5762847065925598;37825400829315100;0.7299060821533203;0.8579539656639099;-0.820938766002655;0.4614242613315582
15;0;14;0;Tidak Teridentifikasi;0.021815000101923943;0.022089999169111252;0.05739999935030937;0.03562000021338463;0.39419248700141907;0.17155249416828156;0.0715624988079071;0.8118225336074829;-0.5066087245941162;-0.7428341507911682;0.6287282705307007;4190623760223380;0.7428341507911682;0.8822333216667175;-0.7529862523078918;0.43112489581108093
16;0;15;0;Tidak Teridentifikasi;0.021952500566840172;0.027672499418258667;0.06504499912261963;0.0438150018453598;0.3835499882698059;0.1760074943304062;0.079647496342659;0.766264796257019;-0.47634053230285645;-0.7100057005882263;0.5847383141517639;34982235431671100;0.7100057005882263;0.8606795072555542;-0.7587681412696838;0.45653456449508667
17;0;16;0;Tidak Teridentifikasi;0.022804999724030495;0.030752500519156456;0.06969249993562698;0.054099999368190765;0.3527500033378601;0.18851999938488007;0.08976750075817108;0.7347636818885803;-0.4912421405315399;-0.6761913895606995;0.5258486866950989;30582003593444800;0.6761913895606995;0.8437714576721191;-0.815301239490509;0.4557729661464691
18;0;17;0;Tidak Teridentifikasi;0.030917499214410782;0.03641749918460846;0.0625699982047081;0.05508999899029732;0.32269251346588135;0.18384499847888947;0.09504750370979309;0.704304039478302;-0.5000234842300415;-0.6707643270492554;0.485281378030777;26202075481414700;0.6707643270492554;0.8158693313598633;-0.8172399997711182;0.5392788648605347
19;0;18;0;Tidak Teridentifikasi;0.05038750171661377;0.06034250184893608;0.08712749928236008;0.10461749881505966;0.3315199911594391;0.25809499621391296;0.15681250393390656;0.5527422428131104;-0.48299846053123474;-0.5891950726509094;0.37189438939094543;17416481971740700;0.5891950726509094;0.7150580883026123;-12037043571472100;0.6847181916236877
20;0;19;0;Tidak Teridentifikasi;0.04612499848008156;0.05044249817728996;0.07565999776124954;0.07051750272512436;0.3463149964809418;0.24423499405384064;0.12725000083446503;0.6620965003967285;-0.4706376791000366;-0.6414005756378174;0.46728232502937317;22223732471466000;0.6414005756378174;0.7327408194541931;-10050100088119500;0.6333725452423096
21;0;20;0;Tidak Teridentifikasi;0.06432999670505524;0.07543999701738358;0.12526999413967133;0.13984499871730804;0.3807174861431122;0.2879599928855896;0.16231249272823334;0.43931642174720764;-0.4083118438720703;-0.4826359748840332;0.34142395853996277;1086448311805720;0.4826359748840332;0.6526963114738464;-10511137247085500;0.6304212212562561
22;0;21;0;Tidak Teridentifikasi;0.07993625104427338;0.09741249680519104;0.13354749977588654;0.15387000143527985;0.38982000946998596;0.2790362536907196;0.16460874676704407;0.42957377433776855;-0.32629939913749695;-0.4783974289894104;0.3471840023994446;1031360149383540;0.4783974289894104;0.6107484102249146;-10266318321228000;0.7149224877357483
23;0;22;0;Tidak Teridentifikasi;0.08707249909639359;0.10472749918699265;0.15422749519348145;0.16107499599456787;0.45238250494003296;0.27517250180244446;0.13618749380111694;0.4724854528903961;-0.29850754141807556;-0.48827168345451355;0.4265868067741394;114751136302948;0.48827168345451355;0.6218876242637634;-0.9922981262207031;0.6991190314292908
24;0;23;0;Tidak Teridentifikasi;0.09691750258207321;0.12606750428676605;0.18508249521255493;0.19523000717163086;0.42265498638153076;0.24866250157356262;0.12474749982357025;0.3680700957775116;-0.15888889133930206;-0.3964228630065918;0.3384424149990082;0.7379850745201111;0.3964228630065918;0.5630602240562439;-0.7575650215148926;0.6799941062927246
25;0;24;0;Tidak Teridentifikasi;0.09515749663114548;0.11909624934196472;0.18157625198364258;0.18370750546455383;0.36313125491142273;0.1896200031042099;0.09160999953746796;0.32579541206359863;-0.05849398672580719;-0.36624854803085327;0.2811912000179291;0.6501704454421997;0.36624854803085327;0.5151941180229187;-0.42708030343055725;0.6954343914985657
26;0;25;0;Tidak Teridentifikasi;0.10677625238895416;0.1307699978351593;0.1835012435913086;0.18633374571800232;0.2621375024318695;0.12920249998569489;0.06631000339984894;0.2030651718378067;0.19598715007305145;-0.1471249908208847;0.1744735985994339;0.2975195646286011;0.1471249908208847;0.303226113319397;-0.04237249866127968;0.7112768292427063
27;0;26;0;Tidak Teridentifikasi;0.13577499985694885;0.16328875720500946;0.2315162569284439;0.20950250327587128;0.2886887490749359;0.12196999788284302;0.05999875068664551;0.15878906846046448;0.28504428267478943;-0.13103583455085754;0.14218886196613312;0.21628548204898834;0.13103583455085754;0.2851937413215637;0.11422968655824661;0.7024469375610352
28;0;27;0;Tidak Teridentifikasi;0.13907499611377716;0.17622749507427216;0.22904124855995178;0.21051999926567078;0.22703374922275543;0.10460375249385834;0.05795000120997429;-0.005371075123548508;0.4159998297691345;0.05681763216853142;0.01196699682623148;0.02658926509320736;-0.05681763216853142;0.07024306058883667;0.2816290557384491;0.7649860382080078
29;0;28;0;Tidak Teridentifikasi;0.12570999562740326;0.1662449985742569;0.21992500126361847;0.17344999313354492;0.12331750243902206;0.07273124903440475;0.0408174991607666;-0.1721336543560028;0.5062742829322815;0.28506797552108765;-0.13514256477355957;-0.1287936568260193;-0.28506797552108765;-0.1528230905532837;0.44569748640060425;0.7524648308753967
