Pixel_ID;Row;Col;Area;B1(Coastal Aerosol (B1));B2(Blue (B2));B3(Green (B3));B4(Red (B4));B5(RE1 (B5));B6(RE2 (B6));B7(RE3 (B7));B8(NIR (B8));B9(RE4 (B8A));B10(Water Vapor (B9));B11(SWIR1 (B11));B12(SWIR2 (B12));B13(NDVI);B14(MNDWI);B15(NDWI);B16(EVI);B17(SABI);B18(GNDVI);B19(NDAVI);B20(AWEI);B21(BATHYMETRY);Label;Kategori_Detail;Kategori
1;0;0;Lainnya;0.02500000037252903;0.027400000020861626;0.05260000005364418;0.02710000053048134;0.10220000147819519;0.2727999985218048;0.3305000066757202;0.36079999804496765;0.3702000081539154;0.3700000047683716;0.16539999842643738;0.07169999927282333;0.8380165100097656;-0.4772036671638489;-0.7311249375343323;0.6192110776901245;39548871517181300;0.7311249375343323;0.8629629611968994;-0.734375;0.5325443744659424;0;Perairan;Non_Lamun
2;0;1;Lainnya;0.026000000536441803;0.0284000001847744;0.05139999836683273;0.02889999933540821;0.10010000318288803;0.28040000796318054;0.3359000086784363;0.36399999260902405;0.3702000081539154;0.3709000051021576;0.16539999842643738;0.07169999927282333;0.8429774641990662;-0.4760051667690277;-0.7194928526878357;0.6242366433143616;37105507850646900;0.7194928526878357;0.8495631814002991;-0.7367749810218811;0.5430809259414673;0;Tidak_Teridentifikasi;Non_Lamun
3;0;2;Lainnya;0.026000000536441803;0.029200000688433647;0.05429999902844429;0.03180000185966492;0.10639999806880951;0.2840000092983246;0.3418000042438507;0.3628000020980835;0.3772999942302704;0.3709000051021576;0.1655000001192093;0.0723000019788742;0.821265459060669;-0.47662651538848877;-0.7323907017707825;0.6235229969024658;38796842098236000;0.7323907017707825;0.853512704372406;-0.7208500504493713;0.5117540955543518;0;Tidak_Teridentifikasi;Non_Lamun
4;0;3;Lainnya;0.026000000536441803;0.028699999675154686;0.053700000047683716;0.030700000002980232;0.10809999704360962;0.2849999964237213;0.3418000042438507;0.36039999127388;0.3772999942302704;0.3709000051021576;0.16899999976158142;0.07259999960660934;0.8340611457824707;-0.4872191846370697;-0.7366622686386108;0.5537921786308289;40873122215271;0.7366622686386108;0.8628485202789307;-0.7327500581741333;0.5363457798957825;0;Tidak_Teridentifikasi;Non_Lamun
5;0;4;Lainnya;0.026000000536441803;0.029400000348687172;0.053300000727176666;0.03139999881386757;0.11069999635219574;0.2863999903202057;0.3443000018596649;0.36039999127388;0.3813000023365021;0.3709000051021576;0.1712000072002411;0.07400000095367432;0.8254585862159729;-0.487294465303421;-0.719197690486908;0.6240078806877136;3773824453353880;0.719197690486908;0.850429117679596;-0.7508000135421753;0.5495495796203613;0;Tidak_Teridentifikasi;Non_Lamun
6;0;5;Lainnya;0.026000000536441803;0.02979999966919422;0.05570000037550926;0.0333000011742115;0.11379999667406082;0.2865000069141388;0.34610000252723694;0.3643999993801117;0.38370001316070557;0.3709000051021576;0.1768999993801117;0.07660000026226044;0.8160237669944763;-0.4748603403568268;-0.7149099111557007;0.6163684129714966;3650557518005370;0.7149099111557007;0.848739504814148;-0.7455999851226807;0.548872172832489;0;Tidak_Teridentifikasi;Non_Lamun
7;0;6;Lainnya;0.026000000536441803;0.03189999982714653;0.06040000170469284;0.03799999877810478;0.11749999970197678;0.2865000069141388;0.3450999855995178;0.36320000886917114;0.38089999556541443;0.3677000105381012;0.18140000104904175;0.08229999989271164;0.8060683012008667;-0.4648018777370453;-0.6973947882652283;0.5930037498474121;3450610399246210;0.6973947882652283;0.8395721912384033;-0.7568749785423279;0.5348189473152161;0;Tidak_Teridentifikasi;Non_Lamun
8;0;7;Lainnya;0.026200000196695328;0.03220000118017197;0.06199999898672104;0.04560000076889992;0.12030000239610672;0.28459998965263367;0.33329999446868896;0.3508000075817108;0.3763999938964844;0.3553999960422516;0.19140000641345978;0.08699999749660492;0.7727517485618591;-0.4721108078956604;-0.6827438473701477;0.563187837600708;3080139398574820;0.6827438473701477;0.8337689638137817;-0.7624000310897827;0.5420875549316406;0;Tidak_Teridentifikasi;Non_Lamun
9;0;8;Lainnya;0.026200000196695328;0.03139999881386757;0.06260000169277191;0.049400001764297485;0.1251000016927719;0.2825999855995178;0.3287000060081482;0.3391999900341034;0.366100013256073;0.3553999960422516;0.19850000739097595;0.09470000118017197;0.7694074511528015;-0.47480785846710205;-0.6763030290603638;0.5760305523872375;2909586191177360;0.6763030290603638;0.8183894753456116;-0.8284749984741211;0.514800488948822;0;Tidak_Teridentifikasi;Non_Lamun
10;0;9;Lainnya;0.026200000196695328;0.031300000846385956;0.06889999657869339;0.04749999940395355;0.13040000200271606;0.2874999940395355;0.32330000400543213;0.34439998865127563;0.3617999851703644;0.3553999960422516;0.21379999816417694;0.09960000216960907;0.7574591040611267;-0.492000013589859;-0.6718913316726685;0.5623471736907959;2887892246246330;0.6718913316726685;0.826359212398529;-0.876675009727478;0.4980340600013733;0;Tidak_Teridentifikasi;Non_Lamun
11;0;10;Lainnya;0.026200000196695328;0.03180000185966492;0.06920000165700912;0.04969999939203262;0.12939999997615814;0.2766000032424927;0.31709998846054077;0.3343999981880188;0.3610000014305115;0.3553999960422516;0.21850000321865082;0.10369999706745148;0.7361419200897217;-0.49836280941963196;-0.6609119176864624;0.5277419686317444;2643923282623290;0.6609119176864624;0.8183894753456116;-0.8738749623298645;0.5174050331115723;0;Tidak_Teridentifikasi;Non_Lamun
12;0;11;Lainnya;0.026200000196695328;0.0357000008225441;0.0697999969124794;0.05339999869465828;0.12939999997615814;0.25859999656677246;0.29980000853538513;0.3208000063896179;0.33149999380111694;0.3553999960422516;0.22290000319480896;0.10809999704360962;0.6851415038108826;-0.5053833723068237;-0.6307206749916077;0.4836729168891907;22060041427612300;0.6307206749916077;0.7860465049743652;-0.9050499796867371;0.5392953753471375;0;Tidak_Teridentifikasi;Non_Lamun
13;0;12;Lainnya;0.03229999914765358;0.03610000014305115;0.06930000334978104;0.058400001376867294;0.1289999932050705;0.25859999656677246;0.29010000824928284;0.29339998960494995;0.3246999979019165;0.35010001063346863;0.22519999742507935;0.11330000311136246;0.6353919506072998;-0.5260300636291504;-0.6182370781898499;0.457088828086853;21938233375549300;0.6182370781898499;0.7724719047546387;-0.8984999656677246;0.5690235495567322;0;Tidak_Teridentifikasi;Non_Lamun
14;0;13;Lainnya;0.03310000151395798;0.035100001841783524;0.05869999900460243;0.058400001376867294;0.1266999989748001;0.23170000314712524;0.2741999924182892;0.2786000072956085;0.30630001425743103;0.32359999418258667;0.22599999606609344;0.12250000238418579;0.6261047124862671;-0.5485407710075378;-0.613545835018158;0.44195351004600525;2048943281173700;0.613545835018158;0.7673965692520142;-0.9701249599456787;0.5787671208381653;0;Tidak_Teridentifikasi;Non_Lamun
15;0;14;Lainnya;0.03310000151395798;0.042100001126527786;0.0697999969124794;0.065700002014637;0.1362999975681305;0.22380000352859497;0.2630999982357025;0.29120001196861267;0.3027999997138977;0.32359999418258667;0.2290000021457672;0.12610000371932983;0.5813953876495361;-0.5357353687286377;-0.5884854197502136;0.47480618953704834;17360979318618700;0.5884854197502136;0.7245346903800964;-0.9895750284194946;0.6223241090774536;0;Tidak_Teridentifikasi;Non_Lamun
16;0;15;Lainnya;0.03310000151395798;0.04769999906420708;0.07419999688863754;0.07760000228881836;0.14169999957084656;0.2224999964237213;0.25870001316070557;0.2635999917984009;0.29899999499320984;0.32359999418258667;0.24199999868869781;0.13860000669956207;0.5391923785209656;-0.5740072131156921;-0.5433164834976196;0.401452898979187;13726379871368400;0.5433164834976196;0.6649104356765747;-11580499410629200;0.648097813129425;0;Tidak_Teridentifikasi;Non_Lamun
17;0;16;Lainnya;0.03310000151395798;0.05490000173449516;0.07859999686479568;0.08560000360012054;0.14560000598430634;0.22439999878406525;0.258899986743927;0.27059999108314514;0.3043000102043152;0.32359999418258667;0.2556999921798706;0.1469999998807907;0.513853907585144;-0.5375351309776306;-0.542890727519989;0.35042107105255127;11885143518447800;0.542890727519989;0.6454066634178162;-11606500148773100;0.6934460997581482;0;Tidak_Teridentifikasi;Non_Lamun
18;0;17;Lainnya;0.03310000151395798;0.06319999694824219;0.08399999886751175;0.09629999846220016;0.15800000727176666;0.22679999470710754;0.26429998874664307;0.2946000099182129;0.3077999949455261;0.32359999418258667;0.27880001068115234;0.15469999611377716;0.525607705116272;-0.5041221380233765;-0.5391849279403687;0.3867110013961792;1280180811882010;0.5391849279403687;0.6312263607978821;-12535749673843300;0.7231526970863342;0;Tidak_Teridentifikasi;Non_Lamun
19;0;18;Lainnya;0.04230000078678131;0.05400000140070915;0.0803999975323677;0.09619999676942825;0.1462000012397766;0.22679999470710754;0.26429998874664307;0.2996000051498413;0.3077999949455261;0.31610000133514404;0.27309998869895935;0.15369999408721924;0.5106186270713806;-0.5416313409805298;-0.5276381969451904;0.34629979729652405;13389830589294400;0.5276381969451904;0.6625999212265015;-123722505569458;0.685230016708374;0;Tidak_Teridentifikasi;Non_Lamun
20;0;19;Lainnya;0.045499999076128006;0.05050000175833702;0.07270000129938126;0.08219999819993973;0.13979999721050262;0.2175000011920929;0.2535000145435333;0.25440001487731934;0.30250000953674316;0.3084999918937683;0.2621999979019165;0.1428000032901764;0.4853963851928711;-0.541786789894104;-0.5400788187980652;0.31800445914268494;12593857049942000;0.5400788187980652;0.6484067440032959;-12098249197006200;0.6870748996734619;0;Tidak_Teridentifikasi;Non_Lamun
21;0;20;Lainnya;0.045499999076128006;0.04690000042319298;0.06729999929666519;0.06780000030994415;0.13899999856948853;0.22179999947547913;0.2535000145435333;0.24979999661445618;0.29440000653266907;0.3084999918937683;0.25380000472068787;0.13689999282360077;0.5588822364807129;-0.5493773818016052;-0.5651050209999084;0.34911608695983887;14392606019973700;0.5651050209999084;0.6848695874214172;-11928750276565500;0.6744186282157898;0;Tidak_Teridentifikasi;Non_Lamun
