Pixel_ID;Row;Col;Area;B1(Coastal Aerosol);B2(Blue);B3(Green);B4(Red);B5(NIR);B6(SWIR1);B7(SWIR2);B8(NDVI);B9(MNDWI);B10(NDWI);B11(EVI);B12(SABI);B13(GNDVI);B14(NDAVI);B15(AWEI);B16(BATHYMETRY);Label;Kategori_Detail;Kategori
458;12;1;Lainnya;0.0643987506628036;0.0962850004434585;0.1619549989700317;0.1501300036907196;0.1963299959897995;0.0953499972820282;0.0545400008559227;0.1224889829754829;0.2611082196235657;-0.0775099098682403;0.0808242410421371;0.165641576051712;0.0775099098682403;0.330615222454071;0.0673525035381317;0.5847688913345337;1;Lamun;Lamun
260;6;31;Lainnya;0.0324162505567073;0.0502087511122226;0.0806512534618377;0.0429212488234043;0.0080337496474385;0.0137987500056624;0.0131799997761845;-0.4132528305053711;0.6496788263320923;0.8641714453697205;-0.0731142163276672;-0.2000454366207122;-0.8641714453697205;-0.4705574810504913;0.2184762507677078;0.565444827079773;0;Coral;Non_Lamun
109;2;32;Lainnya;0.0196287501603364;0.0325125008821487;0.0629962533712387;0.0364999994635582;0.0081475004553794;0.0117225004360079;0.010058750398457;-0.5844144225120544;0.6523163914680481;0.7591487169265747;-0.0687192231416702;-0.2409484982490539;-0.7591487169265747;-0.6421641707420349;0.1579659432172775;0.5706307291984558;1;Lamun;Lamun
420;11;1;Lainnya;0.072428748011589;0.0980174988508224;0.1518212556838989;0.1618587523698806;0.3109500110149383;0.2426124960184097;0.1450700014829635;0.3200337886810303;-0.2225825637578964;-0.3458626866340637;0.2397241294384002;0.6091181635856628;0.3458626866340637;0.5277386903762817;-0.8398450016975403;0.6318674683570862;0;Pasir;Non_Lamun
604;15;33;Kanan_Bawah;0.0018225000239908;0.0055900001898407;0.0065799998119473;0.0;0.0041049998253583;0.0144725004211068;0.0132900001481175;0.7203107476234436;-0.2713247835636139;0.2316331267356872;0.0107488306239247;0.2899011373519897;-0.2316331267356872;-0.2316331267356872;-0.0691437497735023;0.7221189737319946;0;Perairan;Non_Lamun
311;8;6;Lainnya;0.144382506608963;0.1946387439966201;0.2609825134277344;0.2659462392330169;0.2720099985599518;0.1169237494468689;0.0586237497627735;0.0129635771736502;0.3795610666275024;-0.0224897246807813;0.0118502425029873;0.0169265251606702;0.0224897246807813;0.1675781458616256;0.3839049935340881;0.7549077868461609;0;Pasir;Non_Lamun
140;3;25;Lainnya;0.0298037491738796;0.0441449992358684;0.07549499720335;0.0497412495315074;0.0199724994599819;0.0171399991959333;0.013124999590218;-0.3933956921100616;0.6185940504074097;0.5538815855979919;-0.0767392814159393;-0.2483246922492981;-0.5538815855979919;-0.3629078269004822;0.1838768720626831;0.5941479206085205;1;Lamun;Lamun
631;16;22;Kanan_Bawah;0.001189999980852;0.0048612500540912;0.0047375001013278;0.0;0.0006949999951757;0.01184624992311;0.0117087503895163;0.9985981583595276;-0.486027181148529;0.2837956249713897;0.0017751303967088;0.147425964474678;-0.2837956249713897;-0.2665093839168548;-0.0732446908950805;0.7908674478530884;0;Perairan;Non_Lamun
185;4;32;Lainnya;0.0069375000894069;0.0200549997389316;0.0547875016927719;0.0261049997061491;0.0051775001920759;0.0119150001555681;0.0104849999770522;-0.7625136375427246;0.6750307083129883;0.8445020318031311;-0.0647663101553917;-0.3450759947299957;-0.8445020318031311;-0.6777656674385071;0.1609643697738647;0.4088684916496277;1;Lamun;Lamun
716;18;31;Kanan_Bawah;0.0024274999741464;0.0046687498688697;0.0049850000068545;0.0;0.0015337499789893;0.0108287502080202;0.0104574998840689;1.0;-0.4245487451553345;0.4520925879478454;0.0039847306907176;0.1527942419052124;-0.4520925879478454;-0.529526948928833;-0.0559815615415573;0.8099106550216675;0;Perairan;Non_Lamun
