Pixel_ID;Row;Col;Area;B1(Coastal Aerosol (B1));B2(Blue (B2));B3(Green (B3));B4(Red (B4));B5(RE1 (B5));B6(RE2 (B6));B7(RE3 (B7));B8(NIR (B8));B9(RE4 (B8A));B10(Water Vapor (B9));B11(SWIR1 (B11));B12(SWIR2 (B12));B13(NDVI);B14(MNDWI);B15(NDWI);B16(EVI);B17(SABI);B18(GNDVI);B19(NDAVI);B20(AWEI);B21(BATHYMETRY);Label;Kategori_Detail;Kategori
6012;53;75;Kanan_Bawah;0.0956000015139579;0.0886000022292137;0.0785999968647956;0.0740000009536743;0.0795999988913536;0.0694999992847442;0.0706999972462654;0.0621999986469745;0.0731000006198883;0.0621999986469745;0.0749000012874603;0.0687000006437301;-0.0774689391255378;0.0280583761632442;0.1055409088730812;-0.0298708323389291;-0.0671206340193748;-0.1055409088730812;-0.1525000184774398;-0.1770999729633331;1087264180183410000000000000000;0;Perairan;Non_Lamun
6147;54;98;Kanan_Bawah;0.0874999985098838;0.0817999988794326;0.0727000012993812;0.0693999975919723;0.0746000036597251;0.0663999989628791;0.0671999976038932;0.0577999986708164;0.067900002002716;0.0606999993324279;0.0715000033378601;0.0675999969244003;-0.0937829092144966;0.0203019212931394;0.1141762658953666;-0.0334313176572322;-0.0750323310494422;-0.1141762658953666;-0.1665465086698532;-0.185800015926361;1097693324089050000000000000000;0;Perairan;Non_Lamun
526;4;77;Lainnya;0.1521999984979629;0.2199999988079071;0.2468000054359436;0.1664000004529953;0.145699992775917;0.0958999991416931;0.101400002837181;0.0847000032663345;0.097300000488758;0.1071000024676323;0.0905999988317489;0.0830999985337257;-0.2939297258853912;0.5205650329589844;0.5414808392524719;-0.3786293566226959;-0.1561488509178161;-0.5414808392524719;-0.4547304511070251;0.4418250322341919;0.8443580269813538;0;Pasir;Non_Lamun
3424;30;63;Kanan_Bawah;0.1048000007867813;0.099200002849102;0.0948000028729438;0.0812000036239624;0.0835999995470047;0.0766000002622604;0.0816999971866607;0.0678000003099441;0.0797000005841255;0.0658000037074089;0.0797000005841255;0.0771000012755394;-0.0637611001729965;0.1169188767671585;0.152046799659729;-0.0267527624964714;-0.0516054965555667;-0.152046799659729;-0.174680471420288;-0.1187749877572059;1103299856185910.0;0;Perairan;Non_Lamun
1999;17;94;Lainnya;0.1160999983549118;0.1115999966859817;0.1230000033974647;0.0855000019073486;0.0865999981760978;0.0615999996662139;0.0658000037074089;0.0599999986588954;0.0641999989748001;0.0614000000059604;0.060199998319149;0.0560000017285347;-0.1533209234476089;0.2881662249565124;0.3442623317241668;-0.0866168513894081;-0.1023990511894226;-0.3442623317241668;-0.2969072163105011;0.0285499989986419;0.9077720046043396;0;Coral;Non_Lamun
4473;39;104;Kanan_Bawah;0.0847000032663345;0.0762000009417533;0.0636000037193298;0.0631000027060508;0.0662999972701072;0.0614000000059604;0.0584000013768672;0.0483999997377395;0.0604999996721744;0.0621999986469745;0.061999998986721;0.0601000003516674;-0.0918367356061935;0.0225563775748014;0.1306575685739517;-0.0257819611579179;-0.0706150233745575;-0.1306575685739517;-0.2102404981851577;-0.1709749847650528;1172222137451170000000000000000;0;Perairan;Non_Lamun
1531;13;74;Lainnya;0.1195999979972839;0.1147999987006187;0.1299999952316284;0.0939999967813491;0.0988999977707862;0.0797000005841255;0.0846000015735626;0.0688999965786933;0.0834000036120414;0.0623000003397464;0.0807999968528747;0.0777999982237815;-0.1540822684764862;0.2600733041763305;0.3326876759529114;-0.0741185843944549;-0.0994912385940551;-0.3326876759529114;-0.2951406836509704;-0.0039749629795551;0.8980228900909424;1;Lamun;Lamun
4386;39;17;Lainnya;0.1160999983549118;0.1147999987006187;0.126800000667572;0.0979000031948089;0.1028999984264373;0.0926999971270561;0.0939000025391578;0.0710000023245811;0.0947000011801719;0.0731000006198883;0.089599996805191;0.0791999995708465;-0.1592658311128616;0.2387311905622482;0.2821782529354095;-0.0752749070525169;-0.1066126823425293;-0.2821782529354095;-0.2418300658464431;-0.0241750292479991;0.9047619104385376;1;Lamun;Lamun
1663;14;94;Lainnya;0.1204999983310699;0.1288000047206878;0.133200004696846;0.0820000022649765;0.0844999998807907;0.0575999990105629;0.0577000007033348;0.0648000016808509;0.0584000013768672;0.0590000003576278;0.0640999972820282;0.0549000017344951;-0.1700356751680374;0.313700407743454;0.3640824258327484;-0.0852595567703247;-0.109337218105793;-0.3640824258327484;-0.332646757364273;0.0580249950289726;0.9076763391494752;1;Lamun;Lamun
3883;34;74;Kanan_Bawah;0.0866999998688697;0.0860000029206276;0.0702999979257583;0.0627999976277351;0.0658000037074089;0.0593000017106533;0.0617999993264675;0.0575999990105629;0.0627999976277351;0.0606000013649463;0.0636999979615211;0.0636000037193298;-0.0680271908640861;0.0401691049337387;0.0992963165044784;-0.0196713712066411;-0.0475367344915866;-0.0992963165044784;-0.2131147533655166;-0.1629000157117843;1219123601913450000000000000000;0;Perairan;Non_Lamun
4763;42;58;Kanan_Bawah;0.0866999998688697;0.0957000032067298;0.0813999995589256;0.066500000655651;0.0703999996185302;0.0623000003397464;0.0586000010371208;0.0697999969124794;0.0584000013768672;0.0615000016987323;0.0640999972820282;0.0579999983310699;-0.0897435992956161;0.027243573218584;0.0922155678272247;-0.0210587903857231;-0.0726315900683403;-0.0922155678272247;-0.1465721130371093;-0.1472250074148178;1112633228302000.0;0;Perairan;Non_Lamun
3154;28;17;Lainnya;0.1740999966859817;0.2054000049829483;0.2398000061511993;0.1155999973416328;0.1097000017762184;0.0710999965667724;0.0727000012993812;0.0680000036954879;0.0728999972343444;0.0979999974370002;0.0696000009775161;0.0663999989628791;-0.2573932111263275;0.4891640841960907;0.477726548910141;-0.2845725417137146;-0.1284352093935012;-0.477726548910141;-0.4296675324440002;0.33569997549057;0.8800690174102783;1;Lamun;Lamun
