Pixel_ID,Row,Col,Area,B1(Coastal Aerosol),B2(Blue),B3(Green),B4(Red),B5(NIR),B6(SWIR1),B7(SWIR2),B8(NDVI),B9(MNDWI),B10(NDWI),B11(EVI),B12(SABI),B13(GNDVI),B14(NDAVI),B15(AWEI),B16(BATHYMETRY),Label,Kategori_Detail,Kategori
604,15,33,Kanan_Bawah,0.0018225000239908695,0.005590000189840794,0.006579999811947346,0.0,0.004104999825358391,0.014472500421106815,0.013290000148117542,0.7203107476234436,-0.2713247835636139,0.23163312673568726,0.010748830623924732,0.28990113735198975,-0.23163312673568726,-0.23163312673568726,-0.06914374977350235,0.7221189737319946,0,Perairan,Non_Lamun
409,10,28,Kanan_Bawah,0.0,0.005590000189840794,0.005452500190585852,0.0,0.0016987499548122287,0.014431250281631947,0.013592500239610672,1.0,-0.4597724676132202,0.20650732517242432,0.004385455511510372,0.14215442538261414,-0.20650732517242432,-0.20609237253665924,-0.07416937500238419,0.8441458940505981,0,Perairan,Non_Lamun
673,17,26,Kanan_Bawah,0.003719999920576811,0.0062500000931322575,0.005273750051856041,0.0,0.0021250001154839993,0.011818749830126762,0.011584999971091747,1.0,-0.39413830637931824,0.28190934658050537,0.005640968214720488,0.24517306685447693,-0.28190934658050537,-0.3329262137413025,-0.061282187700271606,0.7976105213165283,0,Perairan,Non_Lamun
631,16,22,Kanan_Bawah,0.0011899999808520079,0.004861250054091215,0.004737500101327896,0.0,0.0006949999951757491,0.011846249923110008,0.011708750389516354,0.9985981583595276,-0.48602718114852905,0.28379562497138977,0.001775130396708846,0.14742596447467804,-0.28379562497138977,-0.26650938391685486,-0.07324469089508057,0.7908674478530884,0,Perairan,Non_Lamun
706,18,21,Kanan_Bawah,0.0008875000057742,0.0044074999168515205,0.005919999908655882,0.0,0.0020012499298900366,0.012176250107586384,0.011956250295042992,1.0,-0.3924884498119354,0.47367745637893677,0.005202649161219597,0.17207928001880646,-0.47367745637893677,-0.44877123832702637,-0.0647815614938736,0.7711682319641113,0,Perairan,Non_Lamun
638,16,29,Kanan_Bawah,0.005026250146329403,0.006593749858438969,0.005590000189840794,0.0,0.000859999970998615,0.011323750019073486,0.010966249741613865,1.0,-0.35588017106056213,0.3022237718105316,0.002254519844427705,0.17612196505069733,-0.3022237718105316,-0.3688708245754242,-0.06415250152349472,0.8575910329818726,0,Perairan,Non_Lamun
362,9,19,Kanan_Bawah,0.008821249939501286,0.02413875050842762,0.05196874961256981,0.012959999963641167,0.004458750132471323,0.015696249902248383,0.014554999768733978,-0.4076198935508728,0.409857839345932,0.7647718191146851,-0.005927579011768103,0.025456907227635384,-0.7647718191146851,-0.40611782670021057,0.05686906352639198,0.4555169939994812,0,Perairan,Non_Lamun
483,12,26,Kanan_Bawah,0.004572500009089708,0.007459999993443489,0.0071299998089671135,0.0,0.0062500000931322575,0.014582499861717224,0.014582499861717224,0.6082420349121094,-0.2528281509876251,0.14881281554698944,0.015516811981797218,0.26469919085502625,-0.14881281554698944,-0.15902891755104065,-0.07427249848842621,0.9175891876220703,0,Perairan,Non_Lamun
417,10,36,Kanan_Bawah,0.0061125000938773155,0.01628750003874302,0.012492500245571136,0.0,0.004682499915361404,0.014252499677240849,0.01414250023663044,1.0,-0.09951164573431015,0.40102335810661316,0.01326447818428278,0.16581091284751892,-0.40102335810661316,-0.5534096360206604,-0.05326249822974205,1.092463493347168,0,Perairan,Non_Lamun
704,18,19,Kanan_Bawah,0.0026337499730288982,0.005590000189840794,0.006841250229626894,0.0,0.0036925000604242086,0.013358750380575657,0.012643749825656414,1.0,-0.3631707429885864,0.2188466638326645,0.009760369546711445,0.29472804069519043,-0.2188466638326645,-0.21663682162761688,-0.06685437262058258,0.8415958285331726,0,Perairan,Non_Lamun
379,9,36,Kanan_Bawah,0.012602499686181545,0.021017499268054962,0.020935000851750374,0.0003100000030826777,0.005919999908655882,0.01573750004172325,0.014857499860227108,0.927066445350647,0.19429156184196472,0.5951790809631348,0.017068559303879738,0.11416361480951309,-0.5951790809631348,-0.6147400736808777,-0.01197812519967556,0.9581718444824219,0,Perairan,Non_Lamun
559,14,26,Kanan_Bawah,0.0014612500090152025,0.004256249871104956,0.003527499968186021,0.0,0.00026500000967644155,0.011254999786615372,0.011241249740123749,0.22327907383441925,-0.43785956501960754,0.3557378351688385,0.0006795577355660498,0.03887055441737175,-0.3557378351688385,-0.36573779582977295,-0.06869687139987946,0.8240679502487183,0,Perairan,Non_Lamun
716,18,31,Kanan_Bawah,0.0024274999741464853,0.0046687498688697815,0.004985000006854534,0.0,0.0015337499789893627,0.01082875020802021,0.010457499884068966,1.0,-0.4245487451553345,0.45209258794784546,0.003984730690717697,0.1527942419052124,-0.45209258794784546,-0.529526948928833,-0.05598156154155731,0.8099106550216675,0,Perairan,Non_Lamun
520,13,25,Kanan_Bawah,0.0012000000569969416,0.0036925000604242086,0.004613750148564577,0.0,0.002537500113248825,0.01287749968469143,0.012547500431537628,1.0,-0.44258934259414673,0.4691818058490753,0.006645598914474249,0.1818087100982666,-0.4691818058490753,-0.4900377690792084,-0.07233718782663345,0.8417220711708069,0,Perairan,Non_Lamun
373,9,30,Kanan_Bawah,0.0024824999272823334,0.014527499675750732,0.011254999786615372,0.0,0.0034175000619143248,0.015668749809265137,0.014183750376105309,1.0,-0.15004374086856842,0.36870455741882324,0.009556817822158337,0.12116286158561707,-0.36870455741882324,-0.46814170479774475,-0.05672406405210495,1.0855852365493774,0,Perairan,Non_Lamun
